Strategy,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Average Monthly Turnover,Effective N,Gross Leverage
Mean-Variance,0.08152098486879389,0.1631288511492541,0.49973370310936954,-0.26228216365566326,0.16031277737692648,1.2020698547010202,1.0
Risk Parity,0.013605015635707929,0.06997106023876618,0.19443775168309257,-0.20418294204902743,0.020525870959155167,5.81260660830018,1.0
