Date,ACWI,TLT,LQD,TIP,DBC,VNQ,QAI
2016-04-13,0.01209318868931164,0.0035133277323760037,0.00345321317274494,0.0008765010079760938,0.00512820512820511,-0.004426366790285963,0.0034650034650034467
2016-04-14,0.0014057283429977918,-0.004794885455514097,-0.0006714789323485348,-0.002364480252211143,-0.008017492711370311,-0.005527517423696171,-0.00034530386740339036
2016-04-15,-0.0015792244253378662,0.008565310492505418,0.004199563245422366,0.0035990168539326017,-0.0036737692872886862,0.007491541807636448,0.0
2016-04-18,0.007205623901581859,-0.004322111010009011,0.0010873201739711735,-0.00017493221376707613,0.004424778761061843,0.0047973135044376836,0.0024179620034543436
2016-04-19,0.00942243936485787,-0.003122382149112757,0.001838081711087014,0.0017496282040065925,0.021292217327459673,0.00047744091668655564,0.00344589937973816
2016-04-20,-0.0008643042350908736,-0.011000763941940384,-0.0027520640480359626,-0.004191773644223296,0.019410496046009973,-0.016941064185158505,-0.001717032967032961
2016-04-21,-0.0048442906574392985,-0.005947783099026771,-0.0004181301220940181,-0.0012277470841006721,-0.004231311706629048,-0.017839805825242694,0.0003439972480219211
2016-04-22,-0.00017385257301816281,-0.0025643018105523385,0.0010875930728686534,-0.0006146281499693762,-0.004249291784702458,0.01037934017051767,0.0013755158184320937
2016-04-25,-0.003651538862806447,-0.004129012153318956,-0.002339963229149311,-0.001142154278685581,-0.0007112375533427917,0.008805185275773564,-0.003434065934066033
2016-04-26,0.003490401396160525,-0.004537276069780161,-0.0004188306248952278,-0.0004397924179786461,0.012811387900355742,0.0038792580918900477,0.000344589937973927
2016-04-27,0.00156521739130433,0.009980353634577721,0.006368892985837649,0.0060718057022175476,0.009135628952916308,-0.0006037918125829655,0.0027557698932139107
2016-04-28,-0.009202986629623267,0.004123871770930654,0.0009159796819051547,0.005247966413014948,0.0055710306406684396,-0.0020541324311261766,-0.0016317416695293963
2016-04-29,-0.004381352961794649,0.002557148392095865,0.0010815307820299935,-0.0004350474201688659,0.00969529085872578,-0.00920208257658317,-8.602150537639908e-05
2016-05-02,0.006160887167752094,-0.012057505023960413,-0.003989030167040664,-0.0033077994428969415,-0.013717421124828433,0.015519980447268766,0.0017205781142464183
2016-05-03,-0.014345696291112597,0.012595837897042772,0.0017521902377972687,0.0004366812227074579,-0.015299026425591111,0.0015643802647413718,-0.0027447612504293284
2016-05-04,-0.009407170749023752,0.005485590666769458,-0.0016658337497917897,0.0011348756001747784,0.0007062146892655718,0.014297729184188368,-0.0024147350508609833
2016-05-05,0.00017917935853795086,0.0066851083448593585,0.0020023360587351213,0.0032263690268572454,-0.009880028228652082,0.002842928216062468,-0.001035911602209949
2016-05-06,0.0028663561447508368,-0.004274482863903528,-0.0021648626144878946,-0.0034767492394610633,0.006414825374198241,0.010985116938341699,-0.0006913238852401804
2016-05-09,-0.0023222579492675477,0.0031429666538904666,-0.0010013351134846582,0.000610553859572649,-0.02195467422096309,0.010982591424231858,0.0
2016-05-10,0.0143240823634736,7.641754546838797e-05,0.0016705646508519134,0.003050906555090549,0.02461984069514833,-0.00011556685542590817,0.0041508128675198375
2016-05-11,-0.007237422771403268,0.005654466264231717,0.001084056037358172,-0.00017380724776216994,0.023321554770318054,-0.02138233934350431,-0.0024112986565621997
2016-05-12,-0.0001778093883357812,-0.0045589240939140074,-0.0020824656393169105,-0.0006953498478922127,0.0013812154696133394,0.005787173733317497,-0.001035911602209949
2016-05-13,-0.011203983638626958,0.009693916494924126,0.0018363939899832538,0.002435417935113593,-0.0013793103448275223,-0.008924377642085424,-0.0006913238852401804
