Strategy,Average Turnover,Median Turnover,Weight Std Dev,Average Effective N
Mean-Variance,0.16031277737692648,1.8479612125721353e-15,0.2516017813856397,1.2020698547010202
Risk Parity,0.020525870959155167,0.01350946534141539,0.023721201465323454,5.81260660830018
