stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
AAPL,229.0,5.170106613889175,6.9027116395787935,7.730654937382496,9.970043692784754,3.1672805595942437,-28.170097593094226,22.357959543383515,-0.1144437959919444
MSFT,417.1400146484375,8.813947109262301,11.351340163896344,12.910983132889214,14.934373344401452,5.365764964151486,-20.064769880641336,26.642166342462247,0.028508909353844696
AMZN,178.5,5.047295165420934,6.515441514060399,7.332571742771364,9.082209497775995,3.011367632319893,-15.163455095782098,19.68047446299522,-0.16560531668780576
TSLA,214.11000061035156,11.710553800459166,16.681377973441865,18.369314812322557,26.646492079621474,7.4388190852899,-86.86771748051864,63.441030459006925,-0.3826302375237914
GOOGL,163.1634979248047,4.079892858554501,5.8698774548818236,6.955870191570995,9.119273504643447,2.6820915316593017,-23.78847342234002,35.04022343190118,-0.0050345177995758375
GOOG,164.8929443359375,4.040959400583233,5.862833888808944,6.890149924108528,9.128346478885096,2.6697592559178442,-20.939100576256322,31.25087821806929,0.01076983273909599
META,521.3099975585938,16.90350231231406,23.16360278934869,26.116988400891216,35.740047482562474,10.874033203208526,-67.38393921968668,126.11560423933133,-0.27499046421787526
NVDA,119.35979461669922,5.74451733953498,7.967339596198615,9.174465288832565,12.14846110221869,3.7435464866146946,-28.314774997482886,32.58203454371116,-0.12129258899667916
BRK-B,475.9200134277344,6.462207675093282,8.155339135993364,9.298419731616377,10.741129696563307,3.9260081094331767,-14.967381556408327,18.645015715445084,-0.015578559965423813
JPM,224.8000030517578,3.585179793917348,5.410751350801049,6.582837166535796,8.766422579784727,2.57650933227243,-21.610710056107166,26.758027960471026,0.19464155702124858
JNJ,165.86000061035156,2.4672386673450433,3.7145664440802846,4.211246725798389,6.14756130469064,1.6622428563310716,-21.141031954118347,14.598801998621866,-0.022070521984294503
UNH,590.2000122070312,12.222824292220139,18.780724638544363,21.46611513236121,32.00439915399781,8.615121163120767,-72.27456527419247,97.82494839503272,0.07740629723202844
HD,368.5,7.911082673598401,10.645798858386387,11.961856668942346,15.333654126210913,4.93576323845884,-32.02788182657372,28.665124022655448,-0.09786677433334817
PG,171.5399932861328,2.404031769958351,3.683863586301172,4.378357716891145,5.966458755054978,1.6418228454557657,-14.885151127301214,11.901005234501724,0.013409310268982108
V,276.3699951171875,4.164895187884952,5.882898120505873,6.953827169291287,8.8692868850515,2.702908764901393,-17.419956693549636,12.650203692455023,0.07714562633891123
BAC,40.486045837402344,0.9683698189500873,1.357001008598975,1.5875128626054362,2.0966857799555374,0.6021957263461217,-4.920805280702055,4.743546304202013,-0.03383512131166469
MA,483.3399963378906,7.442217514735489,10.948189265091225,12.073534842337494,18.455232128234073,5.134060186360668,-94.22091107956362,33.249757935111234,0.2575030029837517
PFE,29.010000228881836,0.7337904399035757,1.0894739690915822,1.2997428976747152,1.7350710304974148,0.4734323552494874,-2.8706290679646997,4.469658562901344,-0.006382323259284153
XOM,117.94000244140625,2.4687352994096727,3.225556809324578,3.6842388858295863,4.439121577431707,1.5274131098517407,-6.071937724316285,7.316710334855529,-0.0021358189416022925
DIS,90.37999725341797,1.9688306914432587,3.349000092867972,3.7463839821500358,6.7421475941832,1.6920729042448022,-66.4607653118916,13.828753839518939,0.030621746894991555
CSCO,50.540000915527344,0.8481311625319137,1.3763221666660328,1.6121008806949675,2.4705000396324976,0.631813118825747,-10.953218361962044,7.1971199104259185,0.021482583092209687
AVGO,162.82000732421875,6.847094172422487,9.361697378450353,10.739953687055532,13.566991573774619,4.7369379544021575,-31.80530263302478,156.02850442823285,-0.19227729209312577
ADBE,574.4099731445312,15.170865430809158,27.19119029866115,31.41493649898257,54.874926994449034,12.926349880594026,-247.14883319601068,227.3803006267682,0.4977526470868968
CVX,147.9499969482422,2.8602953215637115,4.497060357594093,5.329069632758262,7.644867484009257,1.9852412159219013,-29.556982893615,16.039200064084326,0.07174512640820643
PEP,171.57351684570312,2.887562281736251,4.233672652627498,5.007218868042088,6.831085113285924,1.8881595534253017,-23.36123311966699,15.07028367676773,-0.002086904133630179
TMO,614.679443359375,12.977246001528442,18.622060668769873,22.74870701581574,28.363581908263,8.288134207823015,-51.72518403796141,97.01724696334907,-0.30895759685908003
KO,71.97655487060547,0.9385705248142813,1.4008735271145785,1.734910492375846,2.1723138745353023,0.6121292607063411,-4.697339433179877,4.257031782402507,-0.02087714521554204
ABBV,196.30999755859375,3.635879621984458,5.862862378587472,6.704661198290893,10.907918104360007,2.494789190871335,-25.177576752525937,24.450142639549455,0.02732323797178379
CMCSA,39.56999969482422,0.8406967493527944,1.2671360131619553,1.4572729328027734,2.106896694282093,0.6143737916528379,-5.314745926454876,15.757340824669285,0.01758477052828406
NFLX,701.3499755859375,19.91530371513261,31.36470248708323,35.002517980497714,55.776206723222025,14.002227611139663,-243.1800946401449,155.25870343543806,-0.4334374078473049
ABT,113.2699966430664,2.1707278487530743,3.3130275981951254,3.7419992399991173,5.614350565841427,1.4991331903540548,-16.22410242556697,25.63044718586164,-0.06842887639301659
ACN,341.95001220703125,6.453941411679182,9.677712901151063,10.761307940768518,15.992130914080485,4.731393689888883,-65.22109107340691,41.918601908391054,0.3965936541512582
COST,892.3800048828125,15.714860185665998,23.009655948496743,26.465035748445416,37.45343746190524,10.568151777824262,-88.04473085597533,80.80001038618138,0.43990993528239297
CRM,252.89999389648438,6.799064447592457,11.201254367478406,12.809253365438337,20.999512103957148,4.988827876316643,-48.35010374448754,56.662761861048295,-0.002777700740544793
